Name,Subcategory,Category,Type,IsSoftware,Counts
3rd Party Systems Integration,System Design and Implementation,Information Technology,Specialized Skill,False,10
4D Modeling (Construction),Drafting and Engineering Design,Engineering,Specialized Skill,False,13
56 Kbit/S Modems,Networking Hardware,Information Technology,Specialized Skill,False,8
5G Technology,Wireless Technologies,Information Technology,Specialized Skill,False,422
5S Methodology,Lean Manufacturing,Manufacturing and Production,Specialized Skill,False,58
64bit,Computer Hardware,Information Technology,Specialized Skill,False,18
6LoWPAN,Network Protocols,Information Technology,Specialized Skill,True,3
A/B Testing,Marketing Strategy and Techniques,Marketing and Public Relations,Specialized Skill,False,747
A3 Problem Solving Techniques,,,Specialized Skill,False,1
AAA Server (Authentication Authorization And Accounting),Network Security,Information Technology,Specialized Skill,False,23
AAA Video Games,Animation and Game Design,Design,Specialized Skill,True,73
ABA Intervention,Mental Health Therapies,Health Care,Specialized Skill,False,2
ABL Radiometers,,,Specialized Skill,False,1
AC Motors,Machinery,Manufacturing and Production,Specialized Skill,False,104
AC Power Plugs And Sockets,Basic Electrical Systems,"Maintenance, Repair, and Facility Services",Specialized Skill,False,1
AC/DC Converters,Electrical Power,Energy and Utilities,Specialized Skill,False,8
AC/DC Power,Electrical Power,Energy and Utilities,Specialized Skill,False,19
ADABAS,Databases,Information Technology,Specialized Skill,True,9
ADDIE Instructional Design Model,Instructional and Curriculum Design,Education and Training,Specialized Skill,False,34
ADO.NET (Programming Language),Microsoft Development Tools,Information Technology,Specialized Skill,True,135
ADP Enterprise,Payroll,Human Resources,Specialized Skill,True,2
ADP Payroll,Payroll,Human Resources,Specialized Skill,True,29
ADP Reporting,Human Resources Software,Human Resources,Specialized Skill,False,1
ADP Vantage,Human Resources Software,Human Resources,Specialized Skill,True,2
ADP Workforce Now,Payroll,Human Resources,Specialized Skill,True,8
AERMOD,,,Specialized Skill,True,3
AFGROW,Engineering Software,Engineering,Specialized Skill,True,1
AFNetworking,Networking Software,Information Technology,Specialized Skill,True,1
AGi32,Simulation and Simulation Software,Engineering,Specialized Skill,False,2
AIOps (Artificial Intelligence For IT Operations),Artificial Intelligence and Machine Learning (AI/ML),Information Technology,Specialized Skill,False,30
AIRS Certified Diversity Recruiter (CDR),,,Certification,False,3
AKTA (Chromatography Technology),Laboratory Research,Science and Research,Specialized Skill,False,40
ALM Octane,Software Development Tools,Information Technology,Specialized Skill,True,8
AMPL,Other Programming Languages,Information Technology,Specialized Skill,False,3
AMPScript,Scripting Languages,Information Technology,Specialized Skill,True,39
AMT Asset Management Software,Accounting and Finance Software,Finance,Specialized Skill,True,6
AMX Programming,Other Programming Languages,Information Technology,Specialized Skill,False,2
ANCC Certified,,,Certification,False,28
ANSI Escape Codes (Computer Standards),,,Specialized Skill,False,2
ANSI/ANS Standards,Nuclear Energy,Energy and Utilities,Specialized Skill,False,2
ANSYS IcePak (Simulation Software),Simulation and Simulation Software,Engineering,Specialized Skill,False,3
ANSYS Meshing,Simulation and Simulation Software,Engineering,Specialized Skill,False,85
ANTLR,Natural Language Processing (NLP),Analysis,Specialized Skill,False,8
AP Stylebook,Writing and Editing,Media and Communications,Specialized Skill,False,6
APA Ethics Code,Health Care Procedure and Regulation,Health Care,Specialized Skill,False,2
API 653 Aboveground Storage Tank Inspector Certification,,,Certification,False,1
API Design,Application Programming Interface (API),Information Technology,Specialized Skill,False,344
API Gateway,Application Programming Interface (API),Information Technology,Specialized Skill,False,348
API Management,Application Programming Interface (API),Information Technology,Specialized Skill,False,255
API Testing,Software Quality Assurance,Information Technology,Specialized Skill,False,490
API Throttling,Application Programming Interface (API),Information Technology,Specialized Skill,False,16
APICS Certified Supply Chain Professional,,,Certification,False,19
ARCore,Augmented and Virtual Reality (AR/VR),Information Technology,Specialized Skill,True,6
ARINC Standards,Air Transportation,"Transportation, Supply Chain, and Logistics",Specialized Skill,False,11
ARISg,Pharmacology and Drug Discovery,Science and Research,Specialized Skill,False,5
ARKit,Augmented and Virtual Reality (AR/VR),Information Technology,Specialized Skill,False,12
ARM Architecture,Computer Science,Information Technology,Specialized Skill,False,97
ARM Architecture Microprocessors,Computer Hardware,Information Technology,Specialized Skill,False,1
ARP4754,Air Transportation,"Transportation, Supply Chain, and Logistics",Specialized Skill,False,15
ARP4761,Air Transportation,"Transportation, Supply Chain, and Logistics",Specialized Skill,False,19
ARRT Cardiac Interventional Radiography (CI) Certification,,,Certification,False,9
ARRT Computed Tomography (CT) Certification,,,Certification,False,1
ARRT Radiation Therapy (T) Certification,,,Certification,False,1
ARRT Radiography (R) Certification,,,Certification,False,2
AS2,Network Security,Information Technology,Specialized Skill,False,34
ASAP Methodology,Project Management,Business,Specialized Skill,False,9
ASC 340,Financial Regulation,Finance,Specialized Skill,False,1
ASC 606 (Revenue Recognition),General Accounting,Finance,Specialized Skill,False,18
ASC 740 (Accounting For Income Taxes),Tax,Finance,Specialized Skill,False,11
ASC 842 (Lease Accounting Standard),Financial Regulation,Finance,Specialized Skill,False,9
ASC X12 Standards,Cybersecurity,Information Technology,Specialized Skill,True,54
ASE Parts Specialist,,,Certification,False,1
ASNT Non-Destructive Tester,,,Certification,False,12
ASP.NET,Microsoft Development Tools,Information Technology,Specialized Skill,True,2018
ASP.NET Core,Microsoft Development Tools,Information Technology,Specialized Skill,False,316
ASP.NET Core MVC,Microsoft Development Tools,Information Technology,Specialized Skill,True,65
ASP.NET Extensions For AJAX,Microsoft Development Tools,Information Technology,Specialized Skill,True,7
ASP.NET MVC 5,Microsoft Development Tools,Information Technology,Specialized Skill,True,64
ASP.NET MVC Framework,Microsoft Development Tools,Information Technology,Specialized Skill,True,1375
ASP.NET Razor,Microsoft Development Tools,Information Technology,Specialized Skill,True,7
ASP.NET Web API,Microsoft Development Tools,Information Technology,Specialized Skill,True,111
ASTM International Standards,Quality Assurance and Control,"Law, Regulation, and Compliance",Specialized Skill,False,69
ATLAS.ti (Qualitative Data Analysis Software),Data Analysis,Analysis,Specialized Skill,True,5
ATP/EMTP Software,Engineering Software,Engineering,Specialized Skill,True,1
AUTomotive Open System Architecture (AUTOSAR),Automotive Technologies,Engineering,Specialized Skill,False,66
AVIXA Certified Technology Specialist,,,Certification,False,31
AWK (Programming Language),Scripting Languages,Information Technology,Specialized Skill,True,17
AWS Amplify,Software Development Tools,Information Technology,Specialized Skill,True,15
AWS App Mesh,,,Specialized Skill,True,4
AWS AppSync,Application Programming Interface (API),Information Technology,Specialized Skill,True,2
AWS Auto Scaling,Cloud Solutions,Information Technology,Specialized Skill,True,3
AWS Backup,Backup Software,Information Technology,Specialized Skill,True,3
AWS Batch,Cloud Solutions,Information Technology,Specialized Skill,True,5
AWS CLI (Command Line Interface),Scripting,Information Technology,Specialized Skill,False,31
AWS Certified Advanced Networking Specialty,,,Certification,False,3
AWS Certified Big Data Specialty,,,Certification,False,5
AWS Certified Cloud Practitioner,,,Certification,False,44
AWS Certified DevOps Engineer,,,Certification,False,34
AWS Certified Developer,,,Certification,False,26
AWS Certified Security Specialty,,,Certification,False,19
AWS Certified Solutions Architect,,,Certification,False,61
AWS Certified Solutions Architect Associate,,,Certification,False,80
AWS Certified Solutions Architect Professional,,,Certification,False,20
AWS Certified SysOps Administrator,,,Certification,False,24
AWS Cloud Development Kit (CDK),Cloud Computing,Information Technology,Specialized Skill,True,128
AWS CloudFormation,Cloud Solutions,Information Technology,Specialized Skill,True,928
AWS CloudHSM,Cybersecurity,Information Technology,Specialized Skill,True,1
AWS CloudTrail,Cybersecurity,Information Technology,Specialized Skill,True,9
AWS CodeBuild,Cloud Solutions,Information Technology,Specialized Skill,True,60
AWS CodeCommit,Version Control,Information Technology,Specialized Skill,True,25
AWS CodeDeploy,Software Development Tools,Information Technology,Specialized Skill,True,53
AWS CodePipeline,Software Development Tools,Information Technology,Specialized Skill,True,93
AWS Cost Management,Cloud Solutions,Information Technology,Specialized Skill,False,2
AWS Elastic Beanstalk,Software Development Tools,Information Technology,Specialized Skill,True,68
AWS Elastic MapReduce (EMR),Data Science,Analysis,Specialized Skill,True,58
AWS Glue,"Extraction, Transformation, and Loading (ETL)",Information Technology,Specialized Skill,True,79
AWS Identity And Access Management (IAM),Identity and Access Management,Information Technology,Specialized Skill,True,28
AWS Internet Of Things (IoT),Internet of Things (IoT),Information Technology,Specialized Skill,True,24
AWS Key Management Service (KMS),Cybersecurity,Information Technology,Specialized Skill,True,8
AWS Kinesis,Cloud Solutions,Information Technology,Specialized Skill,True,264
AWS Lambda,Cloud Solutions,Information Technology,Specialized Skill,True,393
AWS OpsWorks,Configuration Management,Information Technology,Specialized Skill,True,9
AWS SDK,Software Development Tools,Information Technology,Specialized Skill,True,15
AWS SageMaker,Artificial Intelligence and Machine Learning (AI/ML),Information Technology,Specialized Skill,True,98
AWS Serverless,Cloud Solutions,Information Technology,Specialized Skill,True,161
AWS User Pools,,,Specialized Skill,True,1
Ab Initio (Software),Business Intelligence Software,Analysis,Specialized Skill,True,92
Abaqus,Engineering Software,Engineering,Specialized Skill,True,61
Abc Analysis,Logistics,"Transportation, Supply Chain, and Logistics",Specialized Skill,False,2
Abdominal Aneurysm,Cardiology,Health Care,Specialized Skill,False,1
Abdominal Surgery,Surgery,Health Care,Specialized Skill,False,12
Abdominal Ultrasonography,Medical Imaging,Health Care,Specialized Skill,False,2
Abdominoplasty,Surgery,Health Care,Specialized Skill,False,2
Ability To Distinguish Colors,Physical Abilities,Physical and Inherent Abilities,Specialized Skill,False,9
Ability To Meet Deadlines,Initiative and Leadership,Physical and Inherent Abilities,Common Skill,False,13777
Abiotic Stress Resistance,Biology,Science and Research,Specialized Skill,False,2
Ablation,Cardiology,Health Care,Specialized Skill,False,46
Ableton Live,Audio Production and Technology,Media and Communications,Specialized Skill,False,5
Abnormal Psychology,Mental and Behavioral Health Specialties,Health Care,Specialized Skill,False,1
Abrasion,Manufacturing Processes,Manufacturing and Production,Specialized Skill,False,5
Abrasive Blasting,Power Tools,"Maintenance, Repair, and Facility Services",Specialized Skill,False,157
Abscesses,Infectious Diseases,Health Care,Specialized Skill,False,8
Absorption (Electromagnetic Radiation),Physics,Science and Research,Specialized Skill,False,6
Absorption Refrigeration,HVAC,"Maintenance, Repair, and Facility Services",Specialized Skill,False,12
Absorption Spectroscopy,Chemistry,Science and Research,Specialized Skill,False,5
Abstract Management,Document Management,Administration,Specialized Skill,False,44
Abstract Of Title,Property Law,"Law, Regulation, and Compliance",Specialized Skill,False,3
Abstraction Layers,Computer Science,Information Technology,Specialized Skill,False,11
Abstractions,Computer Science,Information Technology,Specialized Skill,False,43
Abvent Artlantis,Architectural Design,Architecture and Construction,Specialized Skill,True,6
Academic Accommodation Plans,Education Administration,Education and Training,Specialized Skill,False,1
Academic Advising,Student Support and Services,Education and Training,Specialized Skill,False,28
Academic Affairs,Student Support and Services,Education and Training,Specialized Skill,False,24
Academic English,Language Competency,Media and Communications,Specialized Skill,False,56
Academic Integrity,Education Administration,Education and Training,Specialized Skill,False,46
Academic Language,"Language Interpretation, Translation, and Studies",Media and Communications,Specialized Skill,False,8
Academic Libraries,Library and Archiving,Education and Training,Specialized Skill,False,17
Academic Papers,Writing and Editing,Media and Communications,Specialized Skill,False,59
Academic Record-Keeping,Education Administration,Education and Training,Specialized Skill,False,67
Academic Standards,Teaching,Education and Training,Specialized Skill,False,156
Academic Support Services,Student Support and Services,Education and Training,Specialized Skill,False,7
Academic Writing,Writing and Editing,Media and Communications,Specialized Skill,False,53
Accelerated Life Testing,Product Inspection,Manufacturing and Production,Specialized Skill,False,5
Accelerated Mobile Pages,Mobile Development,Information Technology,Specialized Skill,False,7
Accelerator Physics,Physics,Science and Research,Specialized Skill,False,1
Accelerometer,"Engineering, Scientific, and Technical Instruments",Engineering,Specialized Skill,False,3
Acceptable Use Policy,Systems Administration,Information Technology,Specialized Skill,False,26
Acceptance And Commitment Therapy (ACT),Mental Health Therapies,Health Care,Specialized Skill,False,23
Acceptance Sampling,Product Inspection,Manufacturing and Production,Specialized Skill,False,1
Acceptance Test Procedures,Engineering Practices,Engineering,Specialized Skill,False,11
Acceptance Test-Driven Development,Software Development,Information Technology,Specialized Skill,False,93
Acceptance Testing,Engineering Practices,Engineering,Specialized Skill,False,1749
Access Control Facility,Mainframe Technologies,Information Technology,Specialized Skill,False,1
Access Control List,Identity and Access Management,Information Technology,Specialized Skill,False,56
Access Control Matrix,Identity and Access Management,Information Technology,Specialized Skill,False,6
Access Controls,Safety and Security,Public Safety and National Security,Specialized Skill,False,2145
Access Network,General Networking,Information Technology,Specialized Skill,False,203
Access Query Languages,Query Languages,Information Technology,Specialized Skill,False,3
Access Rules,Identity and Access Management,Information Technology,Specialized Skill,False,10
Accessibility of Services,Community and Social Work,Social and Human Services,Specialized Skill,False,2
Accident Analysis,Occupational Health and Safety,"Law, Regulation, and Compliance",Specialized Skill,False,195
Accident Prevention,Occupational Health and Safety,"Law, Regulation, and Compliance",Specialized Skill,False,83
Accident Reporting,Occupational Health and Safety,"Law, Regulation, and Compliance",Specialized Skill,False,423
Acclimatization,,,Specialized Skill,False,1
Account Adjustments,Billing and Invoicing,Finance,Specialized Skill,False,20
Account Analysis,Financial Analysis,Finance,Specialized Skill,False,117
Account Closures,Banking Services,Finance,Specialized Skill,False,69
Account Development,Account Management,Sales,Specialized Skill,False,619
Account Growth,Account Management,Sales,Specialized Skill,False,325
Account Management,Account Management,Sales,Specialized Skill,False,12742
Account Planning,Account Management,Sales,Specialized Skill,False,406
Account Reconciliation,General Accounting,Finance,Specialized Skill,False,1411
Account Strategy,Account Management,Sales,Specialized Skill,False,427
Account-Based Marketing,Marketing Strategy and Techniques,Marketing and Public Relations,Specialized Skill,False,224
Accountability,Initiative and Leadership,Physical and Inherent Abilities,Common Skill,False,13458
Accounting,General Accounting,Finance,Specialized Skill,False,53980
Accounting Analysis,Financial Analysis,Finance,Specialized Skill,False,52
Accounting Cycle,General Accounting,Finance,Specialized Skill,False,30
Accounting For Income Taxes,Tax,Finance,Specialized Skill,False,17
Accounting Information Systems,General Accounting,Finance,Specialized Skill,False,180
Accounting Machines,General Accounting,Finance,Specialized Skill,False,16
Accounting Management,General Accounting,Finance,Specialized Skill,False,327
Accounting Methods,General Accounting,Finance,Specialized Skill,False,21
Accounting Records,General Accounting,Finance,Specialized Skill,False,545
Accounting Regulations,Financial Regulation,Finance,Specialized Skill,False,113
Accounting Research,Financial Analysis,Finance,Specialized Skill,False,18
Accounting Software,Accounting and Finance Software,Finance,Specialized Skill,True,2949
Accounting Systems,General Accounting,Finance,Specialized Skill,False,1285
Accounts Payable,Accounts Payable and Receivable,Finance,Specialized Skill,False,7003
Accounts Payable Automation,Accounts Payable and Receivable,Finance,Specialized Skill,False,3
Accounts Payable Processing,Accounts Payable and Receivable,Finance,Specialized Skill,False,108
Accounts Payable Workflow Systems,Accounts Payable and Receivable,Finance,Specialized Skill,False,1
Accounts Receivable,Accounts Payable and Receivable,Finance,Specialized Skill,False,3974
Accounts Receivable Management,Accounts Payable and Receivable,Finance,Specialized Skill,False,21
Accreditation Of Public Relations,,,Certification,False,1
Accredited Case Manager (ACM),,,Certification,False,3
Accredited In Business Valuation (ABV),,,Certification,False,1
Accredited Investing,,,Certification,False,8
Accredited Purchasing Practitioner,,,Certification,False,1
Accredited Tax Advisor,,,Certification,False,1
Accrual Accounting,Specialized Accounting,Finance,Specialized Skill,False,18
Accruals,General Accounting,Finance,Specialized Skill,False,4024
Accrued Liabilities,General Accounting,Finance,Specialized Skill,False,6
AccuRev SCM,Configuration Management,Information Technology,Specialized Skill,True,5
Accubid (Estimating Software),Construction Estimating,Architecture and Construction,Specialized Skill,True,1
Acetaminophen,Pharmacy,Health Care,Specialized Skill,False,3
Acetylene Welding,"Welding, Brazing, and Soldering",Manufacturing and Production,Specialized Skill,False,3
Acid Leaching,,,Specialized Skill,False,1
Acid/Base Chemistry,Chemistry,Science and Research,Specialized Skill,False,1
Acids,"Elements, Compounds, and Materials",Science and Research,Specialized Skill,False,8
Acoustic Control Induction Systems,,,Specialized Skill,False,1
Acoustic Emission,Physics,Science and Research,Specialized Skill,False,2
Acoustic Guitar,Music,"Performing Arts, Sports, and Recreation",Specialized Skill,False,8
Acoustics,Physics,Science and Research,Specialized Skill,False,60
Acquisition Due Diligence,Mergers and Acquisitions,Finance,Specialized Skill,False,29
Acquisition Processes,Mergers and Acquisitions,Finance,Specialized Skill,False,162
Acrochordon,Dermatology,Health Care,Specialized Skill,False,6
Acrylic Paint,Art and Illustration,Design,Specialized Skill,False,3
Actian Vector,,,Specialized Skill,True,1
Acting,Theatre and Performance Art,"Performing Arts, Sports, and Recreation",Specialized Skill,False,52
Acting Workshop,,,Specialized Skill,False,1
Action Oriented,Initiative and Leadership,Physical and Inherent Abilities,Common Skill,False,295
Action Research,General Science and Research,Science and Research,Specialized Skill,False,48
ActionScript,Scripting Languages,Information Technology,Specialized Skill,True,15
Activated Sludge Treatment,"Water Supply, Testing, and Treatment",Energy and Utilities,Specialized Skill,False,2
Activation Systems Development,,,Specialized Skill,False,21
Active Directory,Systems Administration,Information Technology,Specialized Skill,True,5842
Active Directory Application Mode,Marketing Software,Marketing and Public Relations,Specialized Skill,True,83
Active Directory Federation Services,Systems Administration,Information Technology,Specialized Skill,True,237
Active Directory Lightweight Directory Services,Systems Administration,Information Technology,Specialized Skill,True,11
Active Directory Migration Tool,Systems Administration,Information Technology,Specialized Skill,True,5
Active Directory Service Interfaces,Systems Administration,Information Technology,Specialized Skill,True,11
Active Learning,Personal Attributes,Physical and Inherent Abilities,Common Skill,False,118
Active Listening,Communication,Media and Communications,Common Skill,False,1291
Active Noise Controls,Signal Processing,Engineering,Specialized Skill,False,6
Active Pharmaceutical Ingredients,Pharmacology and Drug Discovery,Science and Research,Specialized Skill,False,65
Active Record Pattern,Databases,Information Technology,Specialized Skill,False,2
Active Safety,Safety and Security,Public Safety and National Security,Specialized Skill,False,13
Active Server Pages (ASP),Microsoft Development Tools,Information Technology,Specialized Skill,True,481
Active Treatment,Nursing and Patient Care,Health Care,Specialized Skill,False,6
Active-HDL,Hardware Description Languages (HDL),Engineering,Specialized Skill,True,2
ActiveReports,Software Development Tools,Information Technology,Specialized Skill,True,2
ActiveSync,Data Management,Information Technology,Specialized Skill,True,2
ActiveX,Microsoft Development Tools,Information Technology,Specialized Skill,True,3
Activism,"Policy Analysis, Research, and Development","Economics, Policy, and Social Studies",Specialized Skill,False,4
Activiti (Software),Business Analysis,Business,Specialized Skill,True,36
Activities Of Daily Living (ADLs),Home Health Care and Assisted Living,Health Care,Specialized Skill,False,950
Activity Diagram,System Design and Implementation,Information Technology,Specialized Skill,False,26
Activity Manager,,,Specialized Skill,True,45
Activity Program Development,Instructional and Curriculum Design,Education and Training,Specialized Skill,False,1
Activity Recognition,Artificial Intelligence and Machine Learning (AI/ML),Information Technology,Specialized Skill,False,3
Activity Sequencing,Project Management,Business,Specialized Skill,False,3
Activity-Based Costing,Cost Accounting,Finance,Specialized Skill,False,25
Activity-Based Learning,Instructional and Curriculum Design,Education and Training,Specialized Skill,False,6
Actuarial Exams,,,Certification,False,70
Actuarial Reserves,Financial Management,Finance,Specialized Skill,False,1
Actuarial Science,Statistics,Analysis,Specialized Skill,False,420
Actuators,Basic Electrical Systems,"Maintenance, Repair, and Facility Services",Specialized Skill,False,313
Acumatica,Business Operations,Business,Specialized Skill,True,6
Acunetix,Cybersecurity,Information Technology,Specialized Skill,True,3
Acupressure,Alternative Therapy,Health Care,Specialized Skill,False,7
Acupuncture,Alternative Therapy,Health Care,Specialized Skill,False,9
Acute Assessment Unit,,,Specialized Skill,False,143
Acute Care,Emergency and Intensive Care,Health Care,Specialized Skill,False,684
Acute Care Nurse Practitioner (ACNP),,,Certification,False,1
Acute Care Nursing,Nursing and Patient Care,Health Care,Specialized Skill,False,10
Acute Coronary Syndrome,Cardiology,Health Care,Specialized Skill,False,2
Acute Medicine,Emergency and Intensive Care,Health Care,Specialized Skill,False,665
Acute Rehabilitation,Rehabilitation,Health Care,Specialized Skill,False,33
Acute Renal Failure,Nephrology,Health Care,Specialized Skill,False,9
Acute Respiratory Distress Syndrome,Pulmonology,Health Care,Specialized Skill,False,41
Ad Hoc Analysis,Business Intelligence,Analysis,Specialized Skill,False,1069
Ad Hoc Marketing,Marketing Strategy and Techniques,Marketing and Public Relations,Specialized Skill,False,62
Ad Hoc Reporting,Business Intelligence,Analysis,Specialized Skill,False,2158
Ad Hoc Testing,Software Quality Assurance,Information Technology,Specialized Skill,False,21
Ad Serving,Advertising,Marketing and Public Relations,Specialized Skill,False,132
Ad Valorem Tax,Tax,Finance,Specialized Skill,False,1
AdWorks,Online Advertising,Marketing and Public Relations,Specialized Skill,True,1
Ada (Programming Language),Other Programming Languages,Information Technology,Specialized Skill,True,2
Ada Compliance,Labor Compliance,"Law, Regulation, and Compliance",Specialized Skill,False,2
Adaptability,Personal Attributes,Physical and Inherent Abilities,Common Skill,False,4448
Adapted Physical Education,Coaching and Athletic Training,"Performing Arts, Sports, and Recreation",Specialized Skill,False,1
Adaptive Bitrate Streaming,Streaming Media Systems,Media and Communications,Specialized Skill,False,4
Adaptive Clinical Trials,Clinical Trials,Science and Research,Specialized Skill,False,7
Adaptive Control,Automation Engineering,Engineering,Specialized Skill,False,3
Adaptive Design,Web Design and Development,Information Technology,Specialized Skill,False,49
Adaptive Equipment,Mobility Assistance,Health Care,Specialized Skill,False,24
Adaptive Insights (Software),Accounting and Finance Software,Finance,Specialized Skill,True,31
Adaptive Leadership,Initiative and Leadership,Physical and Inherent Abilities,Common Skill,False,5
Adaptive Learning,Education Software and Technology,Education and Training,Specialized Skill,False,6
Adaptive Reasoning,Critical Thinking and Problem Solving,Physical and Inherent Abilities,Common Skill,False,9
Adaptive Reuse,Green Architecture,Architecture and Construction,Specialized Skill,False,1
Addiction Medicine,Mental and Behavioral Health Specialties,Health Care,Specialized Skill,False,10
Addiction Recovery,Mental Health Therapies,Health Care,Specialized Skill,False,15
Adding Machines,Office and Productivity Equipment and Technology,Administration,Common Skill,False,4
Additive Manufacturing (3D Printing),Manufacturing Processes,Manufacturing and Production,Specialized Skill,False,405
Additives,Material Handling,"Transportation, Supply Chain, and Logistics",Specialized Skill,False,3
Address Resolution Protocols,Network Protocols,Information Technology,Specialized Skill,False,58
Addressable Spend,Procurement,"Transportation, Supply Chain, and Logistics",Specialized Skill,False,18
Addressing Schemes,General Networking,Information Technology,Specialized Skill,False,2
Adenosine,Cardiology,Health Care,Specialized Skill,False,3
Aderant (Software),Accounting and Finance Software,Finance,Specialized Skill,True,117
Adherent Cell Culture,"Molecular, Cellular, and Microbiology",Science and Research,Specialized Skill,False,3
Adhesive Bonding,Manufacturing Processes,Manufacturing and Production,Specialized Skill,False,8
Adhoc Queries,Databases,Information Technology,Specialized Skill,False,52
Adipose Tissue,Biology,Science and Research,Specialized Skill,False,4
Adjudication,Regulation and Legal Compliance,"Law, Regulation, and Compliance",Specialized Skill,False,435
Adjunct Therapy,Nursing and Patient Care,Health Care,Specialized Skill,False,1
Adjusted Gross Income,Tax,Finance,Specialized Skill,False,7
Adjuster License,,,Certification,False,4
Adjusting Entries,General Accounting,Finance,Specialized Skill,False,16
Admin Tools,Systems Administration,Information Technology,Specialized Skill,True,17
Administrative Agencies,Regulation and Legal Compliance,"Law, Regulation, and Compliance",Specialized Skill,False,1
Administrative Functions,Administrative Support and Clerical Tasks,Administration,Common Skill,False,23566
Administrative Law,Regulation and Legal Compliance,"Law, Regulation, and Compliance",Specialized Skill,False,33
Administrative Support,Administrative Support and Clerical Tasks,Administration,Specialized Skill,False,13871
Admiralty Law,Regulation and Legal Compliance,"Law, Regulation, and Compliance",Specialized Skill,False,10
Admissions Operations,Administrative Support and Clerical Tasks,Administration,Specialized Skill,False,10
Admixtures,Pharmacy,Health Care,Specialized Skill,False,29
Adobe AIR,Media Production,Media and Communications,Specialized Skill,True,1
Adobe Acrobat,Graphic and Visual Design Software,Design,Specialized Skill,True,135
Adobe After Effects,Animation and Game Design,Design,Specialized Skill,True,836
Adobe Analysis Workspace,Data Analysis,Analysis,Specialized Skill,True,2
Adobe Analytics,Web Analytics and SEO,Marketing and Public Relations,Specialized Skill,True,515
Adobe Animate,Animation and Game Design,Design,Specialized Skill,True,22
Adobe Audience Manager,Marketing Software,Marketing and Public Relations,Specialized Skill,True,14
Adobe Audition,Audio Production and Technology,Media and Communications,Specialized Skill,True,17
Adobe Authorware,Graphic and Visual Design Software,Design,Specialized Skill,True,1
Adobe Bridge,Graphic and Visual Design Software,Design,Specialized Skill,True,2
Adobe Business Catalyst,,,Specialized Skill,True,1
Adobe CQ,Content Management Systems,Information Technology,Specialized Skill,False,2
Adobe Campaign,Online Advertising,Marketing and Public Relations,Specialized Skill,True,102
Adobe Captivate,Education Software and Technology,Education and Training,Specialized Skill,True,53
Adobe Certification,,,Certification,False,5
Adobe Certified Expert,,,Certification,False,5
Adobe Certified Master,,,Certification,False,1
Adobe ColdFusion,Web Design and Development,Information Technology,Specialized Skill,True,25
Adobe Connect,Graphic and Visual Design Software,Design,Specialized Skill,True,22
Adobe Creative Cloud,Graphic and Visual Design Software,Design,Specialized Skill,True,114
Adobe Creative Suite,Graphic and Visual Design Software,Design,Specialized Skill,True,1784
Adobe Digital Editions,Writing and Editing,Media and Communications,Specialized Skill,True,7
Adobe Director,Media Production,Media and Communications,Specialized Skill,True,3
