,Name,Subcategory,Category,Type,IsSoftware,Counts,Green Enhanced Skills,Green Increased Demand,Green New and Emerging
171,Ableton Live,Audio Production and Technology,Media and Communications,Specialized Skill,False,5,0,0,2
172,Abnormal Psychology,Mental and Behavioral Health Specialties,Health Care,Specialized Skill,False,1,0,1,0
173,Abrasion,Manufacturing Processes,Manufacturing and Production,Specialized Skill,False,5,2,2,0
174,Abrasive Blasting,Power Tools,"Maintenance, Repair, and Facility Services",Specialized Skill,False,157,41,32,7
175,Abscesses,Infectious Diseases,Health Care,Specialized Skill,False,8,0,0,0
176,Absorption (Electromagnetic Radiation),Physics,Science and Research,Specialized Skill,False,6,0,3,2
177,Absorption Refrigeration,HVAC,"Maintenance, Repair, and Facility Services",Specialized Skill,False,12,4,3,2
178,Absorption Spectroscopy,Chemistry,Science and Research,Specialized Skill,False,5,0,3,1
179,Abstract Management,Document Management,Administration,Specialized Skill,False,44,4,5,2
180,Abstract Of Title,Property Law,"Law, Regulation, and Compliance",Specialized Skill,False,3,0,2,0
181,Abstraction Layers,Computer Science,Information Technology,Specialized Skill,False,11,2,5,3
182,Abstractions,Computer Science,Information Technology,Specialized Skill,False,43,3,13,10
183,Abvent Artlantis,Architectural Design,Architecture and Construction,Specialized Skill,True,6,1,0,0
184,Academic Accommodation Plans,Education Administration,Education and Training,Specialized Skill,False,1,0,0,0
185,Academic Advising,Student Support and Services,Education and Training,Specialized Skill,False,28,2,1,1
186,Academic Affairs,Student Support and Services,Education and Training,Specialized Skill,False,24,1,1,1
187,Academic English,Language Competency,Media and Communications,Specialized Skill,False,56,4,2,4
188,Academic Integrity,Education Administration,Education and Training,Specialized Skill,False,46,6,6,8
189,Academic Language,"Language Interpretation, Translation, and Studies",Media and Communications,Specialized Skill,False,8,0,0,1
190,Academic Libraries,Library and Archiving,Education and Training,Specialized Skill,False,17,2,0,3
191,Academic Papers,Writing and Editing,Media and Communications,Specialized Skill,False,59,4,12,6
192,Academic Record-Keeping,Education Administration,Education and Training,Specialized Skill,False,67,9,5,9
193,Academic Standards,Teaching,Education and Training,Specialized Skill,False,156,9,9,8
194,Academic Support Services,Student Support and Services,Education and Training,Specialized Skill,False,7,0,0,1
195,Academic Writing,Writing and Editing,Media and Communications,Specialized Skill,False,53,4,5,2
196,Accelerated Life Testing,Product Inspection,Manufacturing and Production,Specialized Skill,False,5,2,1,2
197,Accelerated Mobile Pages,Mobile Development,Information Technology,Specialized Skill,False,7,0,2,1
198,Accelerator Physics,Physics,Science and Research,Specialized Skill,False,1,1,0,0
199,Accelerometer,"Engineering, Scientific, and Technical Instruments",Engineering,Specialized Skill,False,3,1,0,1
200,Acceptable Use Policy,Systems Administration,Information Technology,Specialized Skill,False,26,1,3,3
201,Acceptance And Commitment Therapy (ACT),Mental Health Therapies,Health Care,Specialized Skill,False,23,0,0,0
202,Acceptance Sampling,Product Inspection,Manufacturing and Production,Specialized Skill,False,1,0,1,0
203,Acceptance Test Procedures,Engineering Practices,Engineering,Specialized Skill,False,11,4,2,3
204,Acceptance Test-Driven Development,Software Development,Information Technology,Specialized Skill,False,93,3,35,14
205,Acceptance Testing,Engineering Practices,Engineering,Specialized Skill,False,1749,102,327,620
206,Access Control Facility,Mainframe Technologies,Information Technology,Specialized Skill,False,1,0,0,1
207,Access Control List,Identity and Access Management,Information Technology,Specialized Skill,False,56,5,3,29
208,Access Control Matrix,Identity and Access Management,Information Technology,Specialized Skill,False,6,0,2,2
209,Access Controls,Safety and Security,Public Safety and National Security,Specialized Skill,False,2145,236,356,320
210,Access Network,General Networking,Information Technology,Specialized Skill,False,203,11,10,82
211,Access Query Languages,Query Languages,Information Technology,Specialized Skill,False,3,0,0,2
212,Access Rules,Identity and Access Management,Information Technology,Specialized Skill,False,10,0,1,3
213,Accessibility of Services,Community and Social Work,Social and Human Services,Specialized Skill,False,2,1,0,0
214,Accident Analysis,Occupational Health and Safety,"Law, Regulation, and Compliance",Specialized Skill,False,195,28,95,26
215,Accident Prevention,Occupational Health and Safety,"Law, Regulation, and Compliance",Specialized Skill,False,83,15,22,6
216,Accident Reporting,Occupational Health and Safety,"Law, Regulation, and Compliance",Specialized Skill,False,423,73,74,22
217,Acclimatization,,,Specialized Skill,False,1,0,0,0
218,Account Adjustments,Billing and Invoicing,Finance,Specialized Skill,False,20,1,7,0
219,Account Analysis,Financial Analysis,Finance,Specialized Skill,False,117,10,6,7
220,Account Closures,Banking Services,Finance,Specialized Skill,False,69,6,6,5
221,Account Development,Account Management,Sales,Specialized Skill,False,619,152,15,36
222,Account Growth,Account Management,Sales,Specialized Skill,False,325,84,8,29
223,Account Management,Account Management,Sales,Specialized Skill,False,12742,2615,791,1118
224,Account Planning,Account Management,Sales,Specialized Skill,False,406,126,15,37
225,Account Reconciliation,General Accounting,Finance,Specialized Skill,False,1411,82,8,33
226,Account Strategy,Account Management,Sales,Specialized Skill,False,427,136,19,38
227,Account-Based Marketing,Marketing Strategy and Techniques,Marketing and Public Relations,Specialized Skill,False,224,111,5,51
228,Accountability,Initiative and Leadership,Physical and Inherent Abilities,Common Skill,False,13458,1929,1215,1796
229,Accounting,General Accounting,Finance,Specialized Skill,False,53980,5023,1191,3969
230,Accounting Analysis,Financial Analysis,Finance,Specialized Skill,False,52,6,0,6
231,Accounting Cycle,General Accounting,Finance,Specialized Skill,False,30,3,0,2
232,Accounting For Income Taxes,Tax,Finance,Specialized Skill,False,17,0,0,0
233,Accounting Information Systems,General Accounting,Finance,Specialized Skill,False,180,11,2,10
234,Accounting Machines,General Accounting,Finance,Specialized Skill,False,16,1,0,0
235,Accounting Management,General Accounting,Finance,Specialized Skill,False,327,20,0,9
236,Accounting Methods,General Accounting,Finance,Specialized Skill,False,21,1,0,2
237,Accounting Records,General Accounting,Finance,Specialized Skill,False,545,22,2,12
238,Accounting Regulations,Financial Regulation,Finance,Specialized Skill,False,113,7,3,9
239,Accounting Research,Financial Analysis,Finance,Specialized Skill,False,18,4,0,0
240,Accounting Software,Accounting and Finance Software,Finance,Specialized Skill,True,2949,180,29,72
241,Accounting Systems,General Accounting,Finance,Specialized Skill,False,1285,82,13,62
242,Accounts Payable,Accounts Payable and Receivable,Finance,Specialized Skill,False,7003,382,163,302
243,Accounts Payable Automation,Accounts Payable and Receivable,Finance,Specialized Skill,False,3,0,0,0
244,Accounts Payable Processing,Accounts Payable and Receivable,Finance,Specialized Skill,False,108,1,0,2
245,Accounts Payable Workflow Systems,Accounts Payable and Receivable,Finance,Specialized Skill,False,1,0,0,0
246,Accounts Receivable,Accounts Payable and Receivable,Finance,Specialized Skill,False,3974,261,73,174
247,Accounts Receivable Management,Accounts Payable and Receivable,Finance,Specialized Skill,False,21,0,0,1
248,Accreditation Of Public Relations,,,Certification,False,1,0,0,0
249,Accredited Case Manager (ACM),,,Certification,False,3,0,0,0
250,Accredited In Business Valuation (ABV),,,Certification,False,1,0,0,0
251,Accredited Investing,,,Certification,False,8,2,0,3
252,Accredited Purchasing Practitioner,,,Certification,False,1,1,0,0
253,Accredited Tax Advisor,,,Certification,False,1,0,0,0
254,Accrual Accounting,Specialized Accounting,Finance,Specialized Skill,False,18,2,0,1
255,Accruals,General Accounting,Finance,Specialized Skill,False,4024,258,14,122
256,Accrued Liabilities,General Accounting,Finance,Specialized Skill,False,6,0,0,0
257,AccuRev SCM,Configuration Management,Information Technology,Specialized Skill,True,5,1,1,2
258,Accubid (Estimating Software),Construction Estimating,Architecture and Construction,Specialized Skill,True,1,0,0,1
259,Acetaminophen,Pharmacy,Health Care,Specialized Skill,False,3,0,0,0
260,Acetylene Welding,"Welding, Brazing, and Soldering",Manufacturing and Production,Specialized Skill,False,3,0,3,0
261,Acid Leaching,,,Specialized Skill,False,1,1,0,0
262,Acid/Base Chemistry,Chemistry,Science and Research,Specialized Skill,False,1,0,0,0
263,Acids,"Elements, Compounds, and Materials",Science and Research,Specialized Skill,False,8,1,4,1
264,Acoustic Control Induction Systems,,,Specialized Skill,False,1,0,0,1
265,Acoustic Emission,Physics,Science and Research,Specialized Skill,False,2,0,0,1
266,Acoustic Guitar,Music,"Performing Arts, Sports, and Recreation",Specialized Skill,False,8,0,2,2
267,Acoustics,Physics,Science and Research,Specialized Skill,False,60,17,8,14
268,Acquisition Due Diligence,Mergers and Acquisitions,Finance,Specialized Skill,False,29,6,1,6
269,Acquisition Processes,Mergers and Acquisitions,Finance,Specialized Skill,False,162,53,7,31
270,Acrochordon,Dermatology,Health Care,Specialized Skill,False,6,1,0,0
271,Acrylic Paint,Art and Illustration,Design,Specialized Skill,False,3,0,0,0
272,Actian Vector,,,Specialized Skill,True,1,0,0,1
273,Acting,Theatre and Performance Art,"Performing Arts, Sports, and Recreation",Specialized Skill,False,52,3,2,2
274,Acting Workshop,,,Specialized Skill,False,1,0,0,0
275,Action Oriented,Initiative and Leadership,Physical and Inherent Abilities,Common Skill,False,295,62,23,52
276,Action Research,General Science and Research,Science and Research,Specialized Skill,False,48,4,1,4
277,ActionScript,Scripting Languages,Information Technology,Specialized Skill,True,15,0,7,0
278,Activated Sludge Treatment,"Water Supply, Testing, and Treatment",Energy and Utilities,Specialized Skill,False,2,1,1,0
279,Activation Systems Development,,,Specialized Skill,False,21,4,2,0
280,Active Directory,Systems Administration,Information Technology,Specialized Skill,True,5842,472,667,1639
281,Active Directory Application Mode,Marketing Software,Marketing and Public Relations,Specialized Skill,True,83,6,37,8
282,Active Directory Federation Services,Systems Administration,Information Technology,Specialized Skill,True,237,42,75,69
283,Active Directory Lightweight Directory Services,Systems Administration,Information Technology,Specialized Skill,True,11,2,3,2
284,Active Directory Migration Tool,Systems Administration,Information Technology,Specialized Skill,True,5,1,3,0
285,Active Directory Service Interfaces,Systems Administration,Information Technology,Specialized Skill,True,11,2,0,6
286,Active Learning,Personal Attributes,Physical and Inherent Abilities,Common Skill,False,118,3,10,4
287,Active Listening,Communication,Media and Communications,Common Skill,False,1291,90,182,128
288,Active Noise Controls,Signal Processing,Engineering,Specialized Skill,False,6,2,1,2
289,Active Pharmaceutical Ingredients,Pharmacology and Drug Discovery,Science and Research,Specialized Skill,False,65,14,33,10
290,Active Record Pattern,Databases,Information Technology,Specialized Skill,False,2,0,2,0
291,Active Safety,Safety and Security,Public Safety and National Security,Specialized Skill,False,13,4,1,5
292,Active Server Pages (ASP),Microsoft Development Tools,Information Technology,Specialized Skill,True,481,20,273,43
293,Active Treatment,Nursing and Patient Care,Health Care,Specialized Skill,False,6,0,0,0
294,Active-HDL,Hardware Description Languages (HDL),Engineering,Specialized Skill,True,2,0,0,2
295,ActiveReports,Software Development Tools,Information Technology,Specialized Skill,True,2,0,2,0
296,ActiveSync,Data Management,Information Technology,Specialized Skill,True,2,0,1,0
297,ActiveX,Microsoft Development Tools,Information Technology,Specialized Skill,True,3,1,2,0
298,Activism,"Policy Analysis, Research, and Development","Economics, Policy, and Social Studies",Specialized Skill,False,4,2,0,0
299,Activiti (Software),Business Analysis,Business,Specialized Skill,True,36,1,20,2
300,Activities Of Daily Living (ADLs),Home Health Care and Assisted Living,Health Care,Specialized Skill,False,950,8,10,105
301,Activity Diagram,System Design and Implementation,Information Technology,Specialized Skill,False,26,0,2,23
302,Activity Manager,,,Specialized Skill,True,45,13,2,0
303,Activity Program Development,Instructional and Curriculum Design,Education and Training,Specialized Skill,False,1,0,0,0
304,Activity Recognition,Artificial Intelligence and Machine Learning (AI/ML),Information Technology,Specialized Skill,False,3,0,1,0
305,Activity Sequencing,Project Management,Business,Specialized Skill,False,3,0,0,2
306,Activity-Based Costing,Cost Accounting,Finance,Specialized Skill,False,25,1,1,5
307,Activity-Based Learning,Instructional and Curriculum Design,Education and Training,Specialized Skill,False,6,0,0,0
308,Actuarial Exams,,,Certification,False,70,8,1,53
309,Actuarial Reserves,Financial Management,Finance,Specialized Skill,False,1,0,0,1
310,Actuarial Science,Statistics,Analysis,Specialized Skill,False,420,42,7,216
311,Actuators,Basic Electrical Systems,"Maintenance, Repair, and Facility Services",Specialized Skill,False,313,151,81,43
312,Acumatica,Business Operations,Business,Specialized Skill,True,6,0,0,2
313,Acunetix,Cybersecurity,Information Technology,Specialized Skill,True,3,0,0,1
314,Acupressure,Alternative Therapy,Health Care,Specialized Skill,False,7,0,1,0
315,Acupuncture,Alternative Therapy,Health Care,Specialized Skill,False,9,0,2,1
316,Acute Assessment Unit,,,Specialized Skill,False,143,0,6,0
317,Acute Care,Emergency and Intensive Care,Health Care,Specialized Skill,False,684,16,12,5
318,Acute Care Nurse Practitioner (ACNP),,,Certification,False,1,0,0,0
319,Acute Care Nursing,Nursing and Patient Care,Health Care,Specialized Skill,False,10,0,0,0
320,Acute Coronary Syndrome,Cardiology,Health Care,Specialized Skill,False,2,0,1,0
321,Acute Medicine,Emergency and Intensive Care,Health Care,Specialized Skill,False,665,2,10,3
322,Acute Rehabilitation,Rehabilitation,Health Care,Specialized Skill,False,33,0,0,0
323,Acute Renal Failure,Nephrology,Health Care,Specialized Skill,False,9,0,0,0
