,SOC2010 Code,SOC2010 Title,SOC2020 Code,SOC2020 Title
97,3545, Sales accounts and business development managers,2432, Marketing and commercial managers
98,3545, Sales accounts and business development managers,3556, Sales accounts and business development managers
99,4159, Other administrative occupations n.e.c.,4159, Other administrative occupations n.e.c.
100,4159, Other administrative occupations n.e.c.,9233, Exam invigilators
101,4217, Typists and related keyboard occupations,4152, Data entry administrators
102,4217, Typists and related keyboard occupations,4217, Typists and related keyboard occupations
103,5249, Electrical and electronic trades n.e.c.,5245, Security system installers and repairers
104,5249, Electrical and electronic trades n.e.c.,5246, Electrical service and maintenance mechanics and repairers
105,5249, Electrical and electronic trades n.e.c.,5249, Electrical and electronic trades n.e.c.
106,5312, Bricklayers and masons,5312, Stonemasons and related trades
107,5312, Bricklayers and masons,5313, Bricklayers
108,6121, Nursery nurses and assistants,3232, Early education and childcare practitioners
109,6121, Nursery nurses and assistants,6111, Early education and childcare assistants
110,6122, Childminders and related occupations,6114, Childminders
111,6122, Childminders and related occupations,6116, Nannies and au pairs
112,7125, Merchandisers and window dressers,3553, Merchandisers
113,7125, Merchandisers and window dressers,7125, Visual merchandisers and related occupations
114,7220, Customer service managers and supervisors,4143, Customer service managers
115,7220, Customer service managers and supervisors,7220, Customer service supervisors
116,8212, Van drivers,8214, Delivery drivers and couriers
117,8212, Van drivers,8219, Road transport drivers n.e.c.
118,9120, Elementary construction occupations,9121, Groundworkers
119,9120, Elementary construction occupations,9120, Elementary construction occupations nec.
120,9260, Elementary storage occupations,9251, Elementary storage supervisors
121,9260, Elementary storage occupations,9252, Warehouse operatives
122,9260, Elementary storage occupations,9253, Delivery operatives
123,9260, Elementary storage occupations,9259, Elementary storage occupations n.e.c.
124,9272, Kitchen and catering assistants (part),9261, Bar and catering supervisors
125,9274, Bar staff (part),9261, Bar and catering supervisors
126,9272, Kitchen and catering assistants (part),9266, Coffee shop workers
